section,subject,chapter_number,chapter_name_bn,chapter_name_en,question_type,cq_importance,mcq_importance,math_importance,time_cq_min,time_mcq_min,time_math_min,time_revision_min
বিজ্ঞান,পদার্থবিজ্ঞান,1,ভৌত রাশি ও পরিমাপ,Physical Quantities and Measurement,CQ+MCQ,3,4,0,45,25,0,15
বিজ্ঞান,পদার্থবিজ্ঞান,2,গতি,Motion,CQ+MCQ,5,5,0,75,35,0,25
বিজ্ঞান,পদার্থবিজ্ঞান,3,বল,Force,CQ+MCQ,5,5,0,75,35,0,25
বিজ্ঞান,পদার্থবিজ্ঞান,4,কাজ ক্ষমতা ও শক্তি,Work Power and Energy,CQ+MCQ,5,5,0,70,30,0,25
বিজ্ঞান,পদার্থবিজ্ঞান,5,পদার্থের অবস্থা ও চাপ,States of Matter and Pressure,CQ+MCQ,4,4,0,60,30,0,20
বিজ্ঞান,পদার্থবিজ্ঞান,6,বস্তুর উপর তাপের প্রভাব,Effect of Heat on Matter,CQ+MCQ,3,4,0,55,25,0,20
বিজ্ঞান,পদার্থবিজ্ঞান,7,তরঙ্গ ও শব্দ,Waves and Sound,CQ+MCQ,4,4,0,60,30,0,20
বিজ্ঞান,পদার্থবিজ্ঞান,8,আলোর প্রতিফলন,Reflection of Light,CQ+MCQ,5,5,0,70,35,0,25
বিজ্ঞান,পদার্থবিজ্ঞান,9,আলোর প্রতিসরণ,Refraction of Light,CQ+MCQ,4,4,0,65,30,0,20
বিজ্ঞান,পদার্থবিজ্ঞান,10,স্থির তড়িৎ,Static Electricity,CQ+MCQ,5,5,0,70,35,0,25
বিজ্ঞান,পদার্থবিজ্ঞান,11,চল তড়িৎ,Current Electricity,CQ+MCQ,5,5,0,75,35,0,25
বিজ্ঞান,পদার্থবিজ্ঞান,12,তড়িতের চৌম্বক ক্রিয়া,Magnetic Effect of Electricity,CQ+MCQ,3,4,0,55,25,0,20
বিজ্ঞান,পদার্থবিজ্ঞান,13,আধুনিক পদার্থবিজ্ঞান ও ইলেকট্রনিক্স,Modern Physics and Electronics,CQ+MCQ,3,3,0,50,25,0,15
বিজ্ঞান,রসায়ন,1,রসায়নের ধারণা,Concepts of Chemistry,CQ+MCQ,3,4,0,45,25,0,15
বিজ্ঞান,রসায়ন,2,পদার্থের অবস্থা,States of Matter,CQ+MCQ,4,4,0,55,30,0,20
বিজ্ঞান,রসায়ন,3,পদার্থের গঠন,Structure of Matter,CQ+MCQ,5,5,0,70,35,0,25
বিজ্ঞান,রসায়ন,4,পর্যায় সারণি,Periodic Table,CQ+MCQ,5,5,0,65,35,0,25
বিজ্ঞান,রসায়ন,5,রাসায়নিক বন্ধন,Chemical Bonding,CQ+MCQ,5,5,0,70,35,0,25
বিজ্ঞান,রসায়ন,6,মোলের ধারণা ও রাসায়নিক গণনা,Mole Concept and Chemical Calculations,CQ+MCQ,5,5,0,75,35,0,25
বিজ্ঞান,রসায়ন,7,রাসায়নিক বিক্রিয়া,Chemical Reactions,CQ+MCQ,5,5,0,70,30,0,25
বিজ্ঞান,রসায়ন,8,রসায়ন ও শক্তি,Chemistry and Energy,CQ+MCQ,3,4,0,55,25,0,20
বিজ্ঞান,রসায়ন,9,এসিড-ক্ষারক সমতা,Acid-Base Equilibrium,CQ+MCQ,4,5,0,60,30,0,20
বিজ্ঞান,রসায়ন,10,খনিজ সম্পদ: ধাতু-অধাতু,Mineral Resources: Metals and Non-metals,CQ+MCQ,3,4,0,50,25,0,20
বিজ্ঞান,রসায়ন,11,খনিজ সম্পদ: জীবাশ্ম,Mineral Resources: Fossils,CQ+MCQ,2,3,0,45,20,0,15
বিজ্ঞান,রসায়ন,12,আমাদের জীবনে রসায়ন,Chemistry in Our Daily Life,CQ+MCQ,2,3,0,45,20,0,15
বিজ্ঞান,জীববিজ্ঞান,1,জীবন পাঠ,Lessons of Life,CQ+MCQ,4,4,0,55,30,0,20
বিজ্ঞান,জীববিজ্ঞান,2,জীবকোষ ও টিস্যু,Cell and Tissue,CQ+MCQ,5,5,0,65,35,0,25
বিজ্ঞান,জীববিজ্ঞান,3,কোষ বিভাজন,Cell Division,CQ+MCQ,5,5,0,65,35,0,25
বিজ্ঞান,জীববিজ্ঞান,4,জীবনীশক্তি,Bioenergetics,CQ+MCQ,4,4,0,60,30,0,20
বিজ্ঞান,জীববিজ্ঞান,5,"খাদ্য, পুষ্টি এবং পরিপাক","Food, Nutrition and Digestion",CQ+MCQ,5,5,0,70,35,0,25
বিজ্ঞান,জীববিজ্ঞান,6,পরিবহন,Transportation in Living Organisms,CQ+MCQ,4,4,0,60,30,0,20
বিজ্ঞান,জীববিজ্ঞান,7,গ্যাসীয় বিনিময়,Gaseous Exchange,CQ+MCQ,4,4,0,55,30,0,20
বিজ্ঞান,জীববিজ্ঞান,8,মানব রেচন,Human Excretion,CQ+MCQ,3,4,0,50,25,0,20
বিজ্ঞান,জীববিজ্ঞান,9,দৃঢ়তা প্রদান ও চলন,Support and Movement,CQ+MCQ,3,3,0,50,25,0,15
বিজ্ঞান,জীববিজ্ঞান,10,সমন্বয়,Coordination,CQ+MCQ,4,4,0,60,30,0,20
বিজ্ঞান,জীববিজ্ঞান,11,জীবের প্রজনন,Reproduction,CQ+MCQ,5,5,0,65,35,0,25
বিজ্ঞান,জীববিজ্ঞান,12,জীবের বংশগতি ও বিবর্তন,Heredity and Evolution,CQ+MCQ,4,5,0,60,30,0,20
বিজ্ঞান,জীববিজ্ঞান,13,জীবের পরিবেশ,Organism and Environment,CQ+MCQ,3,3,0,45,25,0,15
বিজ্ঞান,জীববিজ্ঞান,14,জীবপ্রযুক্তি,Biotechnology,CQ+MCQ,3,4,0,45,25,0,15
বিজ্ঞান,উচ্চতর গণিত,1,সেট ও ফাংশন,Sets and Functions,Math,0,4,5,0,30,75,25
বিজ্ঞান,উচ্চতর গণিত,2,বীজগাণিতিক রাশি,Algebraic Expressions,Math,0,4,5,0,25,70,25
বিজ্ঞান,উচ্চতর গণিত,3,জ্যামিতি,Geometry,Math,0,4,5,0,30,80,25
বিজ্ঞান,উচ্চতর গণিত,4,জ্যামিতিক অঙ্কন,Geometric Construction,Math,0,3,4,0,20,60,20
বিজ্ঞান,উচ্চতর গণিত,5,সমীকরণ,Equations,Math,0,5,5,0,30,80,25
বিজ্ঞান,উচ্চতর গণিত,6,অসমতা,Inequality,Math,0,3,4,0,25,60,20
